CODE,STATION,LATITUDE,LONGITUDE,ELEVATION
40700,PARS ABAD MOGHAN,39.6064,47.8822,77.8
40701,MAKKO,39.3794,44.3916,1411.2
40703,KHOY,38.558,44.9952,1103.4
40704,AHAR,38.4333,47.0667,1391
40706,TABRIZ,38.1222,46.2425,1361
40708,ARDEBIL,38.218,48.3286,1335.2
40710,SARAB,37.9333,47.5333,1682
40712,ORUMIEH,37.6586,45.0552,1328
40713,MARAGHEH,37.3475,46.1458,1344
40716,MEYANEH,37.45,47.7,1110
40718,ANZALI,37.4797,49.4575,-23.6
40719,RASHT,37.3167,49.6167,-8.6
40721,MARAVEH-TAPPEH,37.8016,55.9433,460
40723,BOJNOURD,37.4872,57.3033,1065
40726,MOHABAD,36.7533,45.7152,1351.8
40727,SAGHEZ,36.25,46.2667,1522.8
40729,ZANJAN,36.6602,48.5216,1659.4
40731,GHAZVIN,36.2616,50.0613,1279.1
40732,RAMSAR,36.9044,50.6833,-20
40734,NOSHAHR,36.6613,51.4669,-20.9
40736,BABULSAR,36.6986,52.6425,-21
40737,GHARAKHIL,36.4541,52.7716,14.7
40738,GORGAN,36.905,54.4136,0
40739,SHAHRUD,36.3805,54.9297,1325.2
40740,GHUCHAN,37.1175,58.468,1287
40741,SARAKHS,36.5372,61.1488,278
40743,SABZEVAR,36.2167,57.6667,962
40745,MASHHAD,36.2363,59.6311,999.2
40747,SANANDAJ,35.3333,47,1373.4
40754,TEHRAN-MEHRABAD,35.6933,51.3094,1191
40757,SEMNAN,35.5883,53.4213,1127
40762,TORBAT-HEYDARIEH,35.3316,59.2058,1451
40763,KASHMAR,35.2711,58.4733,1109.7
40766,KERMANSHAH,34.3522,47.1533,1318.5
40768,HAMEDAN,34.8694,48.5347,1740.8
40769,ARAK,34.0719,49.7833,1702.8
40780,ILAM,33.5877,46.3977,1337
40782,KHORRAM ABAD,33.4388,48.2836,1147.8
40783,ALI-GOODARZ,33.408,49.7025,2022.1
40785,KASHAN,33.9669,51.4808,955
40789,KHOR,33.77,55.0816,842.2
40791,TABAS,33.6036,56.9508,711
40792,FERDOUS,34.0305,58.1841,1293
40794,SAFI-ABAD DEZFUL,32.2667,48.4167,82.9
40798,SHAHRE-KORD,32.2922,50.8394,2048.9
40800,ESFAHAN,32.5175,51.7061,1550.4
40809,BIRJAND,32.8905,59.2836,1491
40811,AHWAZ,31.3447,48.7441,22.5
40812,MASJED-SOLEYMAN,31.9833,49.2408,320.5
40818,ABADEH,31.1983,52.6163,2030
40821,YAZD,31.9038,54.2897,1230.2
40827,NEHBANDAN,31.5419,60.0347,1188
40829,ZABOL,31.0886,61.543,489.2
40831,ABADAN,30.3772,48.2147,6.6
40833,OMIDYEH-AGHAJARI,30.7425,49.6877,27
40835,GACH SARAN DU GUNBADAN,30.3461,50.8191,726
40836,YASOGE,30.6986,51.555,1816.3
40841,KERMAN,30.25,56.9667,1748
40845,KHARG,29.26666667,50.26666667,3
40848,SHIRAZ,29.5613,52.6025,1488
40851,SIRJAN,29.4666,55.6833,1739.4
40853,BAFT,29.2333,56.5833,2280
40854,BAM,29.0802,58.3522,1067
40856,ZAHEDAN,29.4722,60.9002,1370
40857,BUSHEHR,28.95,50.85,9
40858,BUSHEHR (AIRPORT),28.963,50.8191,23
40859,FASA,28.8994,53.7194,1268
40872,BANDAR-E-DAYYER,27.8333,51.9333,4
40875,BANDARABBASS,27.2147,56.3727,9.8
40877,KAHNUJ,27.9941,57.7113,499
40878,SARAVAN,27.3902,62.3188,1182
40879,IRANSHAHR,27.2294,60.7183,591.1
40882,KISH ISLAND,26.5222,53.9822,30
40883,BANDAR LENGEH,26.5283,54.8283,22.7
40889,SIRI ISLAND,25.8977,54.5511,4.4
40890,ABU MUSA,25.8741,55.0133,6.6
40893,JASK,25.6377,57.7697,5.2
40897,KONARAK,25.4363,60.3747,30
40898,CHAHBAHAR,25.2811,60.6511,8
